rank,excel_row_number,ID,年份,批次,院校代码,院校名称,院校专业组代码,专业组名称,专业代码,专业名称,专业全称,城市,学费,专业组最低位次1,最低位次1,院校标签,院校排名,ranking_key,safety_margin_pct,cooperation_filter_status
18,13903,13900,2024,本科批,11347,仲恺农业工程学院,11347203,203组,036,计算机科学与技术,计算机科学与技术(海珠校区)(不招单色识别不全者),广州,5710.0,131971,,,347,96771,3.1241,not_executed_missing_cooperation_type_field
19,8721,8718,2024,本科批,10588,广东技术师范大学,10588225,225组(国际班),093,计算机科学与技术,计算机科学与技术(国际班，与美国恩波利亚州立大学和英国北安普顿大学学分互认项目，第一至三学年需另缴纳培训费25000元/学年，第四学年需另缴纳国外合作高校学费(按该校当年的收费标准收取)，第一至三学年广东技术师范大学培养，第四学年待定)(入学后不得申请转专业),广州,5710.0,135518,123062,,328,100318,3.2349,not_executed_missing_cooperation_type_field
20,12934,12931,2024,本科批,11106,广州航海学院,11106201,201组,001,计算机科学与技术,计算机科学与技术(黄埔校区),广州,5190.0,138428,104165,,529,103228,3.3259,not_executed_missing_cooperation_type_field
21,7789,7786,2024,本科批,10573,广东药科大学,10573205,205组,015,计算机科学与技术,计算机科学与技术(外包特色班，广州校区),广州,8000.0,143557,110298,,373,108357,3.4862,not_executed_missing_cooperation_type_field
22,7805,7802,2024,本科批,10573,广东药科大学,10573205,205组,067,计算机科学与技术,计算机科学与技术(云浮校区),广州,6230.0,143557,131337,,373,108357,3.4862,not_executed_missing_cooperation_type_field
23,13312,13309,2024,专科高职批,11113,深圳职业技术大学,11113531,531组,205,计算机网络技术,计算机网络技术(面向深圳市外，西丽校区)(不招单色识别不全者),深圳,6000.0,168764,,国重点/示范高职/双高计划A档,/,133564,4.2739,not_executed_missing_cooperation_type_field
24,13317,13314,2024,专科高职批,11113,深圳职业技术大学,11113531,531组,212,计算机应用技术,计算机应用技术(面向深圳市外，西丽校区)(不招单色识别不全者),深圳,6000.0,168764,,国重点/示范高职/双高计划A档,/,133564,4.2739,not_executed_missing_cooperation_type_field
25,20254,20251,2024,专科高职批,12957,深圳信息职业技术学院,12957516,516组,315,计算机应用技术,计算机应用技术(面向深圳市外，校本部),深圳,6000.0,173030,,骨干高职/双高计划B档,/,137830,4.4072,not_executed_missing_cooperation_type_field
26,20255,20252,2024,专科高职批,12957,深圳信息职业技术学院,12957516,516组,316,计算机网络技术,计算机网络技术(面向深圳市外，校本部),深圳,6000.0,173030,,骨干高职/双高计划B档,/,137830,4.4072,not_executed_missing_cooperation_type_field
27,11967,11964,2024,专科高职批,10861,广东交通职业技术学院,10861504,504组(高技能人才),035,计算机网络技术,计算机网络技术(与仲恺农业工程学院三二分段培养，与仲恺农业工程学院网络工程专业开展三二分段专升本协同育人项目实验班，完成三年高职学段学习，各项考核合格，并符合相关条件和要求的，获得本校普通高职(专科)毕业证书，通过转段选拔考核合格的进入仲恺农业工程学院试点专业学习两年，符合相关条件和要求的，可获得仲恺农业工程学院的普通本科毕业证书和学位证书，协同培养高技能人才，清远校区)(按五年人才培养方案要求),广州,6410.0,173089,,骨干高职,/,137889,4.409,not_executed_missing_cooperation_type_field
